Title,Mood,Time Commitment,Year Released,Genre,Ratings,Episode Count,Seasons,Image Path
Attack on Titan,action,short term,2013,Post-apocalyptic,9.1/10,94,4,attack_on_titan.jpg
My Hero Academia,action,long term,2016,Action-Comedy,8.5/10,139,6,my_hero_academia.jpg
One Punch Man,funny,short term,2015,Superhero,8.7/10,24,2,one_punch_man.jpg
Jujutsu Kaisen 0,action,short term,2023,Action/Supernatural,8.6/10,20,1,jujutsu_kaisen_0.jpg
Demon Slayer,adventure,long term,2019,Action,8.7/10,26,2,demon_slayer.jpg
Naruto,Adventure,long term,2002,Action,8.3/10,220,5,naruto.jpg
Dragon Ball Z,Adventure,Long Term,1989,Action,8.7/10,291,9,dragon_ball_z.jpg
Sword Art Online,Fantasy,Long Term,2012,Adventure,7.6/10,96,4,sword_art_online.jpg
Fullmetal Alchemist: Brotherhood,adventure,Long Term,2009,Action,9.1/10,63,3,fullmetal_alchemist_brotherhood.jpg
Cowboy Bebop,Adventure,Short Term,1998,Sci-Fi,8.9/10,26,1,cowboy_bepop.jpg
Death Note,action, Short Term,2006,Mystery,9.0/10,37,1,death_note.jpg
Hunter x Hunter,Adventure,Long Term,2011,Action,8.9/10,148,6,hunter_x_hunter.jpg
Steins;Gate,action,Short Term,2011,Thriller,8.8/10,24,1,steins_gate.jpg
My Youth Romantic Comedy Is Wrong,Comedy,Short Term,2013,Romance,8.1/10,26,2,my_youth_comedy.jpg
Your Lie in April,sad,Short Term,2014,Romance,8.9/10,22,1,your_lie_in_april.jpg
Clannad,sad,Long Term,2007,Romance,8.2/10,47,2,clannad.jpg
Anohana,sad,Short Term,2011,Romance,8.0/10,11,1,anohana.jpg
Your Name,sad,Short Term,2016,Fantasy,8.9/10,107,1,your_name.jpg
A Silent Voice,sad,Short Term,2016,Romance,8.1/10,130,1,a_silent_voice.jpg
Grave of the Fireflies,sad,Short Term,1988,War,8.5/10,1,1,grave_of_the_fireflies.jpg
One Piece,Adventure,Very Long Term,1999,Action,8.5/10,1000+,ongoing,one_piece.jpg
Gintama,Funny,Long Term,2006,Action-Comedy,9.0/10,367,10,gintama.jpg
No Game No Life,Adventure,Short Term,2014,Fantasy,8.0/10,12,1,no_game_no_life.jpg
Assassination Classroom,Funny,Short Term,2015,Action,8.2/10,47,2,assassination_classroom.jpg
Mob Psycho 100,Funny,Short Term,2016,Action,8.5/10,25,2,mob_psycho_100.jpg
Konosuba,Funny,Short Term,2016,Adventure,8.0/10,20,2,konosuba.jpg
Nichijou,Funny,Short Term,2011,Slice of Life,8.4/10,26,1,nichijou.jpg
The Devil is a Part-Timer!,Funny,Short Term,2013,Comedy,7.8/10,13,1,the_devil_is.jpg
The Rising of the Shield Hero,Fantasy,Long Term,2018,Action/Fantasy,8.1/10,25,1,the_rising_of_the_shield.jpg
Re:Zero - Starting Life in Another World,Fantasy,Long Term,2016,Drama/Fantasy,8.6/10,25,2,re_zero.jpg




    
